date, G Fund, F Fund, C Fund, S Fund, I Fund
9/15/14,14.5238,16.4159,26.0208,35.184,25.9444
9/12/14,14.5213,16.4002,26.039,35.5176,25.9894
9/11/14,14.5203,16.4575,26.1964,35.8506,26.0392
9/10/14,14.5195,16.4525,26.1661,35.6776,26.0331
9/9/14,14.5186,16.481,26.0685,35.5422,26.06
9/8/14,14.5178,16.5064,26.2394,35.8814,26.217
9/5/14,14.5152,16.5071,26.3157,35.8774,26.3313
9/4/14,14.5144,16.5145,26.1833,35.7536,26.4262
9/3/14,14.5128,16.5414,26.2208,35.8919,26.4824
9/2/14,14.5128,16.5312,26.2361,36.0285,26.2822
8/29/14,14.5109,16.5824,26.2491,35.8987,26.2962
8/28/14,14.5081,16.5811,26.1602,35.6909,26.271
8/27/14,14.5071,16.5593,26.2007,35.8006,26.4497
8/26/14,14.5062,16.533,26.1941,35.8193,26.4062
8/25/14,14.5053,16.5307,26.166,35.6464,26.3035
8/22/14,14.5024,16.5194,26.0411,35.5016,26.1332
8/21/14,14.5015,16.5148,26.0894,35.495,26.2804
8/20/14,14.5005,16.4943,26.0119,35.4474,26.1532
8/19/14,14.4996,16.508,25.9458,35.4387,26.2095
8/18/14,14.4986,16.5211,25.8115,35.2986,26.115
8/15/14,14.4958,16.5541,25.5916,34.8663,25.9344
8/14/14,14.4949,16.5187,25.5901,34.8653,25.9953
8/13/14,14.4939,16.4943,25.4781,34.737,25.8979
8/12/14,14.493,16.4667,25.3018,34.4433,25.767
8/11/14,14.492,16.4785,25.3416,34.6323,25.7903
8/8/14,14.4892,16.4792,25.2669,34.3866,25.6369
8/7/14,14.4882,16.4813,24.9785,34.0538,25.6746
8/6/14,14.4873,16.4454,25.1119,34.2087,25.7826
8/5/14,14.4864,16.4464,25.1037,34.1844,25.9612
8/4/14,14.4854,16.4428,25.3467,34.351,26.0576
8/1/14,14.4826,16.4309,25.1657,34.1128,26.1376
7/31/14,14.4817,16.3986,25.2379,34.1944,26.3343
7/30/14,14.4808,16.393,25.7513,34.915,26.5611
7/29/14,14.4799,16.4588,25.7453,34.822,26.7189
7/28/14,14.479,16.4351,25.861,34.8699,26.7017
7/25/14,14.4763,16.4475,25.8534,34.9738,26.7041
7/24/14,14.4754,16.4152,25.9788,35.2242,26.8306
7/23/14,14.4746,16.4508,25.9659,35.2368,26.7713
7/22/14,14.4737,16.4501,25.9198,35.176,26.7275
7/21/14,14.4728,16.4356,25.7904,34.9349,26.5238
7/18/14,14.4701,16.429,25.8496,35.0584,26.5897
7/17/14,14.4692,16.4363,25.587,34.5918,26.6319
7/16/14,14.4683,16.3927,25.8906,35.0399,26.8233
7/15/14,14.4674,16.3896,25.7795,35.0572,26.6203
7/14/14,14.4665,16.3944,25.8289,35.2926,26.7329
7/11/14,14.4638,16.4161,25.7044,35.129,26.5021
7/10/14,14.4629,16.4093,25.6639,35.1616,26.4832
7/9/14,14.4621,16.3936,25.7706,35.3857,26.7448
7/8/14,14.4612,16.3788,25.65,35.2762,26.7615
7/7/14,14.4603,16.3464,25.824,35.6489,26.9906
7/3/14,14.4567,16.3204,25.9246,36.119,27.1823
7/2/14,14.4558,16.339,25.7833,35.9184,27.1086
7/1/14,14.4549,16.3851,25.7647,36.0806,27.0497
6/30/14,14.454,16.4291,25.5887,35.7614,26.8586
6/27/14,14.4513,16.4042,25.597,35.6129,26.7783
6/26/14,14.4504,16.4093,25.5468,35.4259,26.7381
6/25/14,14.4496,16.3814,25.5724,35.4603,26.739
6/24/14,14.4487,16.3597,25.4476,35.2185,26.8985
6/23/14,14.4478,16.3354,25.6096,35.5474,26.9477
6/20/14,14.4451,16.3316,25.6128,35.5849,26.9958
6/19/14,14.4442,16.3268,25.5685,35.4731,27.1168
6/18/14,14.4433,16.3211,25.5324,35.4304,26.9416
6/17/14,14.4424,16.292,25.3365,35.2369,26.6981
6/16/14,14.4416,16.3343,25.2809,34.979,26.7129
6/13/14,14.4389,16.3237,25.2597,34.9165,26.7689
6/12/14,14.438,16.3388,25.1803,34.806,26.829
6/11/14,14.4371,16.2982,25.3529,35.0297,26.8007
6/10/14,14.4362,16.2974,25.4399,35.1455,26.8318
6/9/14,14.4353,16.3141,25.4458,35.2189,26.8521
6/6/14,14.4326,16.3229,25.4208,35.0596,26.8382
6/5/14,14.4318,16.3303,25.3001,34.8179,26.6774
6/4/14,14.4309,16.3095,25.1344,34.3804,26.609
6/3/14,14.43,16.3135,25.0828,34.2215,26.6019
6/2/14,14.4291,16.3532,25.0907,34.2413,26.6499
5/30/14,14.4272,16.4061,25.0698,34.239,26.5959
5/29/14,14.4253,16.4105,25.0236,34.3428,26.5846
5/28/14,14.4244,16.4244,24.8871,34.1889,26.5049
5/27/14,14.4235,16.363,24.9106,34.2934,26.5099
5/23/14,14.4197,16.3413,24.7619,33.9583,26.3378
5/22/14,14.4188,16.3249,24.6569,33.6834,26.281
5/21/14,14.4178,16.3366,24.5953,33.4536,26.1585
5/20/14,14.4169,16.3542,24.3937,33.2529,26.1253
5/19/14,14.416,16.3293,24.5524,33.6475,26.1806
5/16/14,14.4131,16.3381,24.4565,33.3675,26.2326
5/15/14,14.4122,16.3533,24.365,33.2211,26.2798
5/14/14,14.4113,16.3305,24.5906,33.4625,26.418
5/13/14,14.4103,16.2715,24.702,33.797,26.3452
5/12/14,14.4094,16.2428,24.6853,34.0033,26.2383
5/9/14,14.4066,16.2621,24.4477,33.4037,26.1487
5/8/14,14.4057,16.2844,24.4064,33.2431,26.3156
5/7/14,14.4047,16.2733,24.4337,33.5156,26.13
5/6/14,14.4038,16.2626,24.2871,33.4757,26.2881
5/5/14,14.4029,16.2445,24.506,33.876,26.2104
5/2/14,14.4,16.2564,24.4585,33.8759,26.2247
5/1/14,14.3991,16.2477,24.4917,33.8001,26.2408
4/30/14,14.3982,16.2104,24.4935,33.7274,26.1468
4/29/14,14.3972,16.1701,24.4192,33.5292,26.0528
4/28/14,14.3963,16.1858,24.3031,33.3334,25.8796
4/25/14,14.3934,16.1888,24.2232,33.5103,25.9018
4/24/14,14.3925,16.1725,24.4206,34.0573,25.988
4/23/14,14.3916,16.1682,24.3784,34.1199,25.9714
4/22/14,14.3906,16.1322,24.429,34.3055,25.9718
4/21/14,14.3897,16.1269,24.329,33.9438,25.7677
